creator_name,total_videos,unique_videos,total_video_entries,instagram_videos,platforms,total_views,total_likes,total_comments,total_shares,avg_views,avg_likes,avg_comments,max_views,max_likes,avg_engagement_rate,avg_virality_factor,overall_engagement_rate
Kiru*,40,40,40,19,"instagram, tiktok",652159,59261,5181,2929,16303.98,1481.53,129.53,429555,42653,0.0578,20.4142,0.1033
Daniel+,112,112,120,60,"instagram, youtube",551523,15829,630,7905,4924.31,141.33,5.62,182123,7360,0.0578,3.8474,0.0442
Adam,34,34,34,17,"instagram, tiktok",486160,27570,305,26945,14298.82,810.88,8.97,312275,18828,0.0696,6.1068,0.1128
Matt*,206,206,217,73,"instagram, tiktok, youtube",407164,18631,423,4832,1976.52,90.44,2.05,51727,3317,0.0687,1.6137,0.0587
Jasper,112,112,113,4,"instagram, tiktok, youtube",301159,38062,590,11520,2688.92,339.84,5.27,209100,32861,0.0569,3.0649,0.1666
JP,22,22,39,19,"instagram, tiktok",293574,27229,90,15471,13344.27,1237.68,4.09,243784,25609,0.0816,9.5028,0.1458
Jill,91,91,92,46,"instagram, tiktok",222279,5765,75,1041,2442.63,63.35,0.82,102673,3127,0.057,1.8525,0.031
Ivan,81,81,88,41,"instagram, tiktok",142246,12051,130,958,1756.12,148.78,1.6,14918,1926,0.0899,1.6531,0.0924
Arnab*,120,120,120,40,"instagram, tiktok, youtube",136693,2804,69,553,1139.11,23.37,0.57,12934,446,0.0244,1.2699,0.0251
Thanush,57,57,57,19,"instagram, tiktok, youtube",135463,6423,170,757,2376.54,112.68,2.98,28706,2493,0.0436,1.3705,0.0543
John Sellers,59,59,61,16,"instagram, tiktok, youtube",119029,7530,21,296,2017.44,127.63,0.36,39382,2779,0.0686,1.8827,0.0659
Huzaifa,90,90,90,30,"instagram, tiktok, youtube",108695,3434,91,298,1207.72,38.16,1.01,4184,145,0.0409,1.0297,0.0352
Riley,47,47,63,21,"instagram, tiktok, youtube",98757,1934,213,112,2101.21,41.15,4.53,23328,218,0.0404,2.7577,0.0229
Yunski,46,46,46,22,"instagram, tiktok",83993,2932,115,295,1825.93,63.74,2.5,7587,917,0.0459,1.5334,0.0398
Dre,42,42,43,16,"instagram, tiktok, youtube",64536,1254,54,225,1536.57,29.86,1.29,7705,206,0.0304,1.0404,0.0238
Gustavo,10,10,18,9,"instagram, tiktok",40043,993,32,126,4004.3,99.3,3.2,23470,380,0.0747,3.5941,0.0287
Kevin Rhee,18,18,20,10,"instagram, tiktok",26956,964,32,44,1497.56,53.56,1.78,2453,98,0.0553,1.0134,0.0386
Ann,14,14,14,0,tiktok,22228,973,9,21,1587.71,69.5,0.64,5356,386,0.0422,1.5566,0.0451
Yaz+,17,17,34,15,"instagram, tiktok",21652,1017,33,54,1273.65,59.82,1.94,1571,92,0.1199,2.3396,0.051
Allen,12,12,22,11,"instagram, tiktok",16221,743,11,37,1351.75,61.92,0.92,2955,121,0.0901,3.6246,0.0488
Nevin+,6,6,6,0,tiktok,2056,175,0,10,342.67,29.17,0.0,1349,126,0.0682,1.975,0.09
